"X","Tenure","Gender","EducationLevel","LoanStatus","NetPromoterScore","TransactionFrequency","Surname","Age","Geography","ComplaintsCount","HasCrCard","EstimatedSalary","IsActiveMember","AvgTransactionAmount","CustomerSegment","MaritalStatus","DigitalEngagementScore","ID","CreditScore","SavingsAccountFlag","Balance","NumOfProducts","Exited"
35,0,"Female","Postgraduate",NA,0,30,"Jones",36,NA,NA,1,99019.65,1,NA,NA,"Divorced",51,NA,NA,0,NA,NA,0
36,3,"Female","University",NA,NA,36,"Tung",34,"France",NA,NA,NA,0,NA,"Mass Market","Married",37,NA,655,1,NA,2,0
37,4,"Female","Postgraduate","Active loan",7,NA,"Seabrook",45,"France",NA,NA,60917.24,NA,70.0206621232026,"High Net Worth","Divorced",NA,NA,NA,0,45144.43,NA,1
38,NA,NA,NA,"No loan",8,NA,NA,35,"Spain",0,NA,NA,NA,36.9586661385407,NA,"Married",66,NA,542,NA,174894.53,1,0
39,8,"Female","High School","Active loan",5,33,NA,74,"Germany",0,NA,66732.63,NA,106.196070203679,"Affluent","Single",84,NA,546,1,NA,2,1
40,7,"Female","University",NA,NA,39,"Forbes",43,NA,0,NA,64679.3,1,142.054920623345,"Mass Market","Married",75,NA,682,NA,NA,2,0
41,9,"Male","University",NA,8,NA,NA,67,"Germany",0,1,99490.01,1,86.6670619301844,"Mass Market","Married",35,NA,689,1,NA,1,0
42,NA,"Male","Postgraduate","Default risk",1,37,"Kelly",NA,"Spain",NA,1,59601.15,1,76.1316844327071,"High Net Worth",NA,74,NA,612,0,170288.38,1,0
43,NA,"Female",NA,NA,NA,NA,"He",NA,NA,0,0,196062.01,0,179.870078687509,"Affluent","Single",NA,NA,607,0,NA,2,0
44,9,"Female","High School",NA,9,33,NA,42,"France",NA,NA,4292.72,NA,54.8521383968424,"Mass Market","Married",NA,NA,674,NA,0,2,0
45,NA,"Male","Postgraduate","Default risk",1,22,"Mahmood",NA,NA,2,1,NA,NA,127.047660290442,"High Net Worth","Divorced",57,NA,NA,NA,152759,NA,1
46,7,"Female","University","No loan",9,32,"Black",44,"France",0,NA,66548.58,NA,114.410086618623,NA,"Married",NA,NA,665,1,0,2,0
47,NA,"Male","High School","Active loan",6,29,"Scott",29,NA,NA,1,6770.44,1,NA,"Affluent","Single",57,NA,NA,0,0,2,0
48,1,"Female",NA,"No loan",8,26,NA,38,"France",0,1,NA,0,99.828120205706,"Mass Market","Married",76,NA,850,1,106871.81,2,0
49,NA,"Male","University",NA,8,NA,NA,46,"Germany",0,NA,73470.98,1,NA,"Mass Market","Married",NA,NA,749,NA,NA,NA,0
50,3,"Male",NA,"Active loan",NA,26,"Avdeev",NA,"Spain",0,0,101617.43,1,NA,"Affluent","Single",56,NA,NA,0,106070.89,1,0
51,NA,NA,NA,"Active loan",6,26,"Nwachinemelu",38,"France",0,0,NA,1,188.70064486477,"Affluent","Single",32,NA,565,0,0,2,0
52,9,NA,"Postgraduate","Active loan",NA,33,"Medvedeva",35,"Spain",NA,1,68141.92,1,102.286223230178,NA,NA,38,NA,658,NA,71829.34,1,0
53,5,"Male","High School","No loan",9,22,NA,24,NA,0,1,71638,1,54.3181823343086,"Affluent",NA,50,NA,660,NA,NA,1,0
54,0,"Male","Postgraduate","Active loan",NA,41,NA,27,"France",1,0,151912.49,0,83.7029152012867,"High Net Worth","Divorced",86,NA,594,0,NA,1,0
55,8,"Female","University","No loan",8,40,"Ross",NA,"France",0,NA,196134.44,1,61.2605966642263,"Mass Market","Married",47,NA,696,1,0,2,0
56,1,"Female",NA,"No loan",8,27,"Akabueze",40,"Germany",0,1,120373.84,1,77.9931211594763,NA,"Married",39,NA,NA,1,NA,1,1
57,NA,"Male","University","No loan",8,NA,"Mitchell",38,"France",0,1,1299.75,0,98.5284858164105,"Mass Market","Married",66,NA,700,1,134811.3,1,0
58,10,NA,NA,"No loan",10,NA,NA,NA,NA,0,1,176730.02,1,103.122837929731,"Mass Market",NA,NA,NA,631,NA,NA,1,0
59,NA,"Male",NA,"No loan",10,29,"Seccombe",32,"France",0,1,NA,1,110.043317587986,NA,"Married",61,NA,NA,1,177729.13,1,0
60,10,"Male","University",NA,10,NA,NA,32,"Spain",NA,1,159891.03,1,134.330657146128,NA,"Married",55,NA,566,1,NA,1,0
61,NA,"Male",NA,"Active loan",7,NA,NA,28,NA,NA,NA,167973.63,NA,169.795821278769,"Affluent","Single",55,NA,489,0,79460.98,2,0
62,0,"Male","High School","No loan",9,37,"Heard",28,"Germany",0,1,8755.69,NA,NA,"Mass Market","Married",58,NA,677,NA,143988,2,1
63,NA,"Female",NA,"Active loan",3,NA,"Lambert",NA,"France",1,1,NA,1,99.2978450808561,"High Net Worth","Divorced",NA,NA,NA,0,0,NA,1
64,1,"Male","University","No loan",8,38,"Bishop",26,NA,0,0,121551.93,0,87.6356427166289,NA,"Married",39,NA,514,1,NA,2,0
65,4,"Female","University","No loan",8,NA,"Tuan",33,"Spain",0,1,103931.49,1,NA,"Mass Market",NA,NA,NA,721,1,72535.45,NA,0
66,7,"Male",NA,"No loan",8,35,"Chidimma",42,NA,0,1,39830.1,NA,NA,"Mass Market","Married",59,NA,NA,1,NA,1,0
67,NA,"Male","Postgraduate","Default risk",1,22,NA,NA,"Germany",2,1,55775.72,NA,71.2176817906782,"High Net Worth","Divorced",55,NA,587,0,132603.36,1,0
68,4,NA,NA,"No loan",10,22,"Nicholson",NA,NA,NA,NA,26920.43,0,NA,"Mass Market","Married",38,NA,NA,1,55776.39,2,0
69,NA,"Female",NA,"Active loan",3,33,"Yuan",35,"Spain",1,NA,106785.7,1,115.51157114924,"High Net Worth","Divorced",67,NA,NA,NA,147936.42,1,0
70,3,"Female",NA,"No loan",8,38,"Li Fonti",43,"Spain",0,1,NA,0,102.807490470432,"Mass Market",NA,60,NA,616,NA,120867.18,1,1
71,3,NA,"University","No loan",10,32,NA,38,"Spain",0,1,126253.31,0,125.386598741813,NA,NA,59,NA,678,1,124483.53,1,0
72,3,"Male",NA,"No loan",8,25,"Blacklock",NA,NA,0,0,124749.08,1,NA,"Mass Market",NA,NA,NA,NA,1,113146.98,NA,0
73,NA,"Male",NA,"No loan",9,42,"Grant",31,"France",NA,NA,NA,1,50.3711525168882,"Mass Market",NA,NA,NA,593,1,NA,2,0
74,NA,NA,"University",NA,8,25,"Ogle",32,NA,NA,1,NA,NA,74.2841742797474,"Mass Market","Married",47,NA,629,1,0,2,0
75,0,NA,NA,NA,NA,NA,"Yao",30,NA,NA,NA,NA,1,74.6302290740336,"Affluent","Single",56,NA,525,1,157989.21,2,0
76,9,"Male","Postgraduate","Default risk",1,36,NA,31,"Germany",NA,NA,NA,1,114.986746542247,"High Net Worth","Divorced",55,NA,551,0,NA,NA,0
77,6,"Female","High School","Active loan",NA,30,NA,52,"Germany",NA,NA,38984.37,NA,101.459125745881,"Affluent","Single",NA,NA,NA,0,71283.09,2,0
78,4,"Male","University","No loan",9,NA,"Turnbull",40,"France",0,1,100433.83,1,55.0620792725163,"Mass Market","Married",68,NA,501,NA,125832.2,1,0
79,NA,NA,"High School","Active loan",5,37,"Tung",40,"France",NA,0,NA,0,59.6582103224382,"Affluent","Single",59,NA,710,1,NA,2,0
80,1,"Male",NA,NA,10,26,"Narelle",40,"Spain",NA,1,193321.3,NA,33.6590250037629,"Mass Market","Married",35,NA,739,NA,NA,1,0
81,5,"Male","Postgraduate","Active loan",3,28,"Benson",22,"France",1,0,NA,1,48.3561189384351,NA,NA,51,NA,750,NA,0,2,0
82,7,"Female","University","No loan",10,26,NA,NA,"Spain",0,NA,111421.77,NA,NA,"Mass Market","Married",73,NA,535,1,115309.75,1,0
83,NA,NA,"University","No loan",9,26,"Hs?eh",37,NA,NA,1,113926.31,NA,NA,NA,"Married",66,NA,NA,NA,138162.41,NA,0
84,1,NA,NA,NA,5,NA,"Abernathy",36,"Spain",NA,1,102021.39,NA,230.903332480485,NA,"Single",NA,NA,NA,1,NA,NA,0
85,9,"Male","High School",NA,NA,36,"Aldridge",44,"Spain",NA,1,NA,NA,60.4897546142669,NA,NA,63,NA,NA,1,NA,2,0
86,1,"Male","Other","Default risk",0,30,NA,48,NA,3,0,NA,0,276.475855506388,"High Net Worth","Widowed",NA,NA,543,NA,NA,1,1
87,9,"Female","University","No loan",8,34,"Stout",NA,"France",0,0,69829.4,NA,NA,NA,"Married",46,NA,687,1,0,1,0
88,NA,"Male",NA,"Active loan",4,32,NA,40,NA,NA,NA,NA,0,NA,NA,NA,64,NA,850,0,124788.18,1,0
89,6,NA,NA,NA,NA,26,"Vasiliev",28,"Spain",0,1,14665.28,NA,70.5336854380158,"Mass Market","Married",58,NA,NA,NA,0,2,0
90,1,"Male","Postgraduate","Default risk",1,NA,"Soto",38,NA,2,0,NA,NA,104.303806901833,"High Net Worth","Divorced",55,NA,NA,0,0,2,0
91,6,"Male","Postgraduate",NA,NA,NA,NA,35,"Germany",2,1,129964.94,0,89.2983780132789,"High Net Worth","Divorced",80,NA,634,0,NA,NA,0
92,NA,"Male",NA,"No loan",NA,NA,"Finch",36,NA,NA,NA,49653.37,1,94.0547431890375,NA,"Married",40,NA,NA,1,155176.83,2,0
93,1,"Male","High School","Active loan",6,31,"Maclean",29,"France",NA,0,196474.35,1,98.0759809346926,NA,NA,71,NA,645,0,130131.08,2,0
94,NA,"Female",NA,"Default risk",0,29,"Mironova",40,"Germany",2,1,151167.94,NA,NA,"High Net Worth","Divorced",49,NA,NA,0,106756.01,2,0
95,7,"Female","Postgraduate","Active loan",NA,39,"Lin",54,NA,NA,NA,172586.89,0,NA,NA,NA,42,NA,648,0,118241.02,1,1
96,NA,NA,NA,"Active loan",NA,23,"Adams",NA,"France",0,NA,80262.91,1,50.1024124846558,"Affluent",NA,59,NA,547,NA,NA,1,0
97,4,NA,"Postgraduate",NA,NA,NA,"Hawkins",29,"France",1,1,NA,0,364.059368424988,"High Net Worth","Divorced",99,NA,NA,0,NA,1,0
98,9,"Male",NA,"No loan",10,44,"Chinomso",39,"Spain",0,NA,100862.36,1,160.911744855421,"Mass Market",NA,78,NA,622,1,0,2,0
99,NA,"Male","University","No loan",10,24,"Lascelles",25,"France",NA,1,NA,0,115.762233359881,NA,"Married",NA,NA,NA,1,77886.53,2,0
100,NA,"Male",NA,"Active loan",3,NA,"Barnes",35,"France",NA,1,84199.78,NA,85.3575142689584,"High Net Worth",NA,54,NA,676,0,106836.67,NA,0
101,2,"Male","University","No loan",8,NA,"Ho",34,"France",0,NA,NA,NA,109.844573055782,"Mass Market","Married",NA,NA,444,1,144318.97,1,0
102,NA,NA,NA,"No loan",NA,26,"Chou",34,"Germany",0,NA,NA,1,50.6750766771415,NA,NA,70,NA,NA,1,120018.86,2,0
103,3,"Female",NA,"No loan",NA,36,"Sopuluchukwu",25,"France",0,1,NA,0,182.738335740506,"Affluent","Single",NA,NA,677,1,0,2,0
104,9,NA,NA,"Active loan",NA,29,"Ford",35,"France",NA,0,NA,0,62.3928170763447,NA,"Single",49,NA,636,0,95478.17,1,0
105,6,NA,"University","No loan",NA,22,"Greathouse",57,"France",NA,1,133537.53,1,137.167733989635,"Mass Market","Married",60,NA,548,NA,76165.65,NA,0
106,NA,"Male","High School","Active loan",5,33,"He",30,NA,NA,NA,180591.32,1,47.7236463528399,"Affluent",NA,54,NA,811,1,0,2,0
107,1,"Male","Postgraduate","Active loan",1,28,NA,NA,"Spain",1,1,21768.21,1,151.084403412692,"High Net Worth",NA,90,NA,671,0,NA,NA,0
108,9,"Female","High School","Active loan",6,37,"Ferrari",38,"France",0,NA,93261.69,1,56.5532375426721,"Affluent","Single",30,NA,810,NA,NA,1,0
109,2,"Female","High School","Active loan",4,29,"Samaniego",68,NA,0,0,NA,0,77.7279811630082,"Affluent","Single",54,NA,NA,0,183555.24,1,1
110,7,"Female",NA,"Active loan",6,17,"Nucci",NA,"Spain",NA,0,137791.18,0,195.338915585271,NA,NA,NA,NA,614,0,NA,2,0
111,NA,"Female","Postgraduate",NA,3,NA,"Volkova",23,"France",1,NA,NA,1,170.202830888622,NA,"Divorced",87,NA,756,NA,112568.31,1,0
112,8,"Male","Postgraduate","Active loan",1,25,NA,44,NA,1,1,NA,1,97.3226395752752,NA,"Divorced",44,NA,695,0,NA,NA,0
113,NA,"Female","Postgraduate","Active loan",3,36,"Onyekaozulu",28,"Spain",1,1,NA,NA,NA,"High Net Worth","Divorced",NA,NA,639,0,97840.72,NA,0
114,0,NA,NA,NA,NA,31,NA,NA,"France",0,NA,38772.65,1,145.87586195312,"Mass Market","Married",54,NA,NA,1,NA,2,0
115,1,NA,"University","No loan",NA,32,"Nebeolisa",32,"Germany",NA,1,127443.82,1,NA,"Mass Market",NA,72,NA,699,1,123906.22,NA,1
116,4,"Male",NA,"No loan",10,28,"Hayes",NA,"Germany",0,1,104189.46,NA,157.201641195163,NA,"Married",NA,NA,NA,1,70362.52,2,0
117,2,"Female","University","No loan",NA,23,"Chinagorom",45,"France",0,1,NA,1,NA,"Mass Market","Married",78,NA,NA,1,109730.22,1,0
118,NA,NA,"University","No loan",10,NA,NA,26,NA,0,1,74425.41,NA,NA,"Mass Market","Married",NA,NA,850,NA,123126.29,1,0
119,1,NA,NA,NA,4,30,"More",42,"Spain",0,NA,NA,NA,60.2431918389144,"Affluent",NA,60,NA,602,NA,138912.17,1,0
120,NA,"Male",NA,"No loan",NA,27,"Yermakov",27,"France",0,0,NA,0,NA,"Mass Market",NA,68,NA,623,1,120509.81,1,0
121,NA,"Male",NA,"No loan",10,NA,NA,49,"France",0,1,148804.36,0,133.598267297297,NA,"Married",47,NA,NA,NA,121973.28,NA,0
122,8,"Male","University","No loan",NA,40,"Thornton",NA,"Spain",0,1,NA,NA,NA,"Mass Market","Married",NA,NA,707,1,NA,1,1
123,4,"Male","High School","Active loan",NA,28,"Storey",25,"Germany",0,1,NA,1,NA,"Affluent",NA,42,NA,643,1,115142.9,1,0
124,8,"Male","High School",NA,6,33,NA,24,"Spain",0,NA,4070.28,0,NA,NA,NA,83,NA,742,NA,NA,NA,0
125,3,NA,NA,"Active loan",6,30,"Padovano",NA,NA,NA,1,NA,0,139.884099276362,"Affluent","Single",NA,NA,562,NA,0,NA,0
126,5,"Male","High School",NA,4,31,"Tan",44,NA,0,1,128046.98,0,74.2881477485635,"Affluent","Single",79,NA,NA,0,0,NA,0
127,NA,"Male","University","No loan",10,NA,"Crawford",29,"Spain",0,1,128077.8,NA,342.465233382768,"Mass Market","Married",NA,NA,NA,NA,61710.44,NA,0
128,0,"Male","High School","No loan",NA,28,NA,35,"Germany",NA,NA,145325.32,NA,NA,"Affluent",NA,41,NA,837,1,NA,1,0
129,8,"Male",NA,NA,4,34,"Onuchukwu",25,"Spain",NA,1,NA,1,196.711231449506,"Affluent",NA,23,NA,792,NA,NA,1,0
130,NA,"Male",NA,"No loan",NA,NA,"Hung",40,"Spain",0,1,NA,1,72.0057862440666,NA,NA,20,NA,848,NA,110929.96,1,0
131,NA,"Male","High School","Active loan",6,29,"Ch'en",NA,"Spain",0,0,19233.41,1,NA,"Affluent",NA,69,NA,738,0,177997.07,1,0
132,2,NA,NA,"No loan",NA,NA,"Haugh",40,"Germany",0,NA,46415.09,NA,NA,"Mass Market",NA,NA,NA,796,NA,NA,2,0
133,1,"Male","High School",NA,9,30,"Rose",38,"France",0,1,122379.54,NA,NA,"Mass Market",NA,51,NA,706,1,0,2,0
134,NA,"Male","Other","Default risk",0,29,"Gordon",NA,"France",3,0,183682.09,0,NA,"High Net Worth","Widowed",NA,NA,786,0,137361.96,1,0
135,8,"Female","University","No loan",NA,37,"Scott",35,"Germany",NA,1,189339.6,NA,44.4404064779734,NA,"Married",NA,NA,460,1,102742.91,2,0
136,4,"Male",NA,"Active loan",5,26,NA,NA,NA,0,NA,NA,1,66.6566967634053,NA,NA,58,NA,603,1,98899.76,NA,0
137,1,"Male","Postgraduate",NA,1,31,NA,35,"Spain",2,0,174770.14,NA,105.765231380132,"High Net Worth","Divorced",NA,NA,NA,NA,NA,NA,1
138,4,"Male",NA,"Default risk",1,NA,"Bagley",37,"France",2,NA,198252.88,NA,93.7513861516697,"High Net Worth","Divorced",58,NA,670,NA,170557.91,2,0
139,8,NA,"High School",NA,NA,29,"Trevisani",41,"Germany",0,0,20491.15,NA,296.842081525624,"Mass Market","Married",73,NA,521,1,NA,1,0
140,6,NA,"University",NA,9,26,"Lu",27,"Spain",0,NA,172031.22,1,59.1872278392739,"Mass Market","Married",63,NA,600,1,0,2,0
141,7,"Male","University","No loan",10,32,"Li Fonti",28,"France",NA,1,122190.22,0,NA,"Mass Market",NA,NA,NA,418,1,98738.92,1,0
142,NA,"Male","University",NA,NA,32,"Chiedozie",23,"Spain",0,1,NA,1,NA,"Mass Market","Married",77,NA,595,NA,0,NA,0
143,10,NA,"University",NA,9,22,"Vasilieva",NA,"Spain",0,NA,153015.42,NA,NA,NA,"Married",NA,NA,NA,1,0,NA,0
144,4,"Male","Postgraduate","Active loan",NA,27,"Thorpe",26,"France",1,1,NA,0,NA,NA,"Divorced",NA,NA,646,NA,139848.17,NA,0
145,8,"Male","University","No loan",10,14,"Piccio",NA,NA,NA,1,159254.29,0,NA,"Mass Market","Married",69,NA,546,1,NA,1,0
146,8,NA,NA,NA,NA,24,"Udinese",56,"France",0,NA,29880.99,0,43.6536842480837,"Mass Market","Married",64,NA,793,NA,NA,NA,0
147,NA,"Male","Other","Default risk",0,29,NA,NA,"France",3,NA,NA,0,101.995991929684,"High Net Worth","Widowed",NA,NA,603,0,NA,2,0
148,3,"Female","Postgraduate","Active loan",3,32,NA,39,"France",1,1,NA,0,NA,NA,NA,NA,NA,NA,0,118336.14,1,0
149,1,"Female","University","No loan",8,24,NA,64,"Spain",NA,1,41800.18,1,198.485835272273,"Mass Market","Married",49,NA,647,NA,91216,1,0
150,5,"Male","University","No loan",8,25,"Lin",NA,"France",NA,1,77414.45,1,NA,"Mass Market","Married",NA,NA,NA,1,NA,2,0
151,9,"Male","High School","Active loan",NA,37,NA,56,"France",0,0,39488.04,0,95.3570108041784,"Affluent","Single",38,NA,NA,0,142147.32,1,1
152,NA,"Female",NA,NA,NA,42,"Power",30,NA,0,1,19500.1,0,NA,NA,NA,NA,NA,710,NA,NA,NA,0
153,9,NA,"University","No loan",NA,NA,"Woods",NA,"France",0,NA,137835.82,1,NA,NA,"Married",72,NA,NA,1,122550.05,2,0
154,1,"Male","University","No loan",NA,27,"Ponce",35,NA,0,1,152541.89,0,NA,NA,"Married",NA,NA,603,1,123407.69,1,1
155,8,NA,NA,NA,9,26,NA,27,"Spain",0,1,188007.99,1,60.1389851224241,"Mass Market","Married",48,NA,663,1,NA,1,0
156,1,NA,NA,NA,8,24,NA,NA,"Spain",NA,NA,NA,NA,72.7244977911577,"Mass Market","Married",67,NA,553,1,142876.98,2,0
157,NA,NA,"University","No loan",10,28,"Hao",36,NA,0,NA,160696.72,NA,NA,"Mass Market","Married",72,NA,NA,1,0,1,0
158,5,"Female","University","No loan",8,30,NA,50,NA,0,NA,192146.63,1,55.7398027338432,"Mass Market","Married",82,NA,579,NA,117721.02,1,1
159,NA,"Female","University","No loan",10,30,NA,NA,"Spain",0,1,NA,0,NA,"Mass Market",NA,85,NA,NA,1,NA,NA,1
160,7,"Female","High School",NA,5,30,"Volkova",33,"France",0,1,136540.09,0,64.0537955212228,NA,"Single",49,NA,NA,1,89939.62,1,0
161,3,NA,"University","No loan",NA,NA,NA,NA,"Germany",0,1,131647.31,NA,147.334512187635,"Mass Market",NA,NA,NA,546,1,132837.7,NA,0
162,6,"Male",NA,"Active loan",4,30,NA,35,"France",0,NA,176962.31,0,171.581219619005,"Affluent","Single",76,NA,690,0,NA,1,0
163,NA,"Male","High School","Active loan",6,33,NA,NA,"France",0,1,176728.28,0,175.671348306561,NA,"Single",71,NA,543,0,0,NA,0
164,3,"Male",NA,"No loan",NA,37,"Aleshire",NA,NA,0,NA,NA,1,140.650032228092,"Mass Market","Married",70,NA,NA,1,NA,1,0
165,5,NA,"Postgraduate","Active loan",3,29,"Brookes",38,"Germany",1,NA,71905.77,0,NA,"High Net Worth",NA,55,NA,NA,NA,130878.75,3,1
166,6,"Male","University",NA,NA,34,"Ts'ai",24,"Germany",NA,NA,169505.83,1,NA,"Mass Market","Married",NA,NA,479,1,107637.97,2,0
167,NA,"Male",NA,"No loan",10,25,NA,38,NA,0,1,99106.97,0,124.632271859076,"Mass Market","Married",72,NA,589,1,92219.21,1,0
168,8,NA,NA,"No loan",9,22,"Crawford",NA,"France",0,1,121904.44,0,77.6263020248394,NA,"Married",NA,NA,NA,NA,NA,1,0
169,4,"Male","University","No loan",10,32,NA,30,"Spain",NA,1,NA,0,236.855022965346,"Mass Market","Married",65,NA,NA,1,125385.01,1,0
170,10,NA,NA,"Active loan",6,NA,"Yang",32,"Spain",0,1,22487.45,1,42.7258092667604,"Affluent","Single",58,NA,665,NA,NA,1,0
171,7,"Male","High School","No loan",NA,21,"Ferri",NA,"France",0,0,140130.22,1,130.696810102282,"Affluent","Single",NA,NA,565,1,135369.71,1,0
172,7,"Male",NA,NA,8,27,"Collier",34,"France",NA,NA,56646.28,1,NA,"Mass Market","Married",89,NA,626,1,NA,NA,0
173,NA,"Female",NA,"Default risk",1,31,"Chigozie",36,"Germany",2,NA,33075.24,0,92.4322082457552,NA,"Divorced",86,NA,NA,0,68806.84,1,0
174,7,"Male","University","No loan",10,40,"Watson",47,NA,NA,0,157959.02,1,232.8583365047,NA,"Married",NA,NA,668,1,106854.21,1,1
175,1,NA,"University","No loan",10,39,"Yobachukwu",35,NA,NA,1,NA,NA,NA,"Mass Market","Married",79,NA,638,NA,0,NA,0
176,NA,"Male","High School","Active loan",7,26,"Wall",38,"Germany",0,NA,NA,0,NA,NA,NA,NA,NA,570,0,127201.58,1,1
177,2,"Male","Postgraduate",NA,0,41,"Robe",38,"France",NA,1,NA,0,59.7110379883067,NA,"Divorced",62,NA,NA,0,NA,2,0
178,NA,"Male","University","No loan",8,35,"Capon",NA,"France",0,0,NA,1,60.582224563113,"Mass Market","Married",NA,NA,485,1,0,2,0
179,NA,"Female",NA,"No loan",9,NA,"Donaldson",NA,NA,NA,1,110784.42,1,NA,"Mass Market","Married",33,NA,583,1,NA,1,0
